time,node,obs,obs_st
12,4,I,1
12,5,I,1
12,6,I,1
12,15,I,1
12,18,I,1
12,32,I,1
12,34,I,1
12,39,I,1
12,40,I,1
12,41,I,1
12,44,I,1
12,45,I,1
12,46,I,1
12,56,I,1
12,58,I,1
12,62,I,1
12,67,I,1
12,71,I,1
12,76,I,1
12,77,I,1
12,82,I,1
12,86,I,1
12,92,I,1
12,94,I,1
