sib_psus70_psrc2,ann_psus07_4lpow_psrc2,ann_psus07_3lpow_psrc2,MF,CT
0.8946428571428572,0.8946428571428572,0.8946428571428572,0.7544642857142857,0.8250000000000001
0.8444444444444444,0.862037037037037,0.8638888888888888,0.7777777777777778,0.8902777777777778
0.8714168714168714,0.8877968877968878,0.8877968877968878,0.7825552825552825,0.723996723996724
0.8830049261083743,0.8854679802955665,0.8854679802955665,0.8011083743842364,0.7931034482758621
0.90625,0.9166666666666667,0.91875,0.8791666666666667,0.8598958333333333
0.8993506493506493,0.9036796536796536,0.9036796536796536,0.8874458874458875,0.8284632034632035
0.893939393939394,0.8717948717948718,0.8764568764568764,0.7727272727272727,0.796037296037296
0.7948717948717948,0.7931623931623932,0.7940170940170941,0.9059829059829061,0.797008547008547
0.9508928571428571,0.9491071428571429,0.9491071428571429,0.8642857142857142,0.8040178571428571
0.7877959927140255,0.8114754098360657,0.8096539162112933,0.7140255009107468,0.7750455373406193
0.7655502392344498,0.7783094098883572,0.7807017543859649,0.844896331738437,0.7950558213716108
0.9277708592777086,0.9302615193026151,0.9315068493150684,0.8156911581569116,0.699252801992528
0.8564453125,0.8525390625,0.853515625,0.8115234375,0.7373046875
0.9307511737089201,0.9366197183098591,0.9366197183098591,0.7359154929577465,0.852112676056338
0.8539682539682539,0.9031746031746032,0.9031746031746032,0.8420634920634921,0.7388888888888889
0.9083175803402647,0.9187145557655954,0.9187145557655954,0.8043478260869565,0.9120982986767486
0.8554621848739496,0.865546218487395,0.8647058823529412,0.7953781512605043,0.8205882352941176
0.8202380952380952,0.8154761904761905,0.8190476190476191,0.7797619047619048,0.7607142857142857
0.9130434782608696,0.9245923913043479,0.9252717391304348,0.7730978260869565,0.7900815217391304
0.8953488372093023,0.9003322259136213,0.9003322259136213,0.8629568106312292,0.7707641196013288
0.8232876712328767,0.8191780821917808,0.8205479452054795,0.5931506849315069,0.8054794520547945
0.8897168405365127,0.8837555886736215,0.88301043219076,0.6967213114754098,0.6911326378539493
0.8807082945013979,0.8807082945013979,0.8807082945013979,0.7903075489282385,0.7660764212488351
0.8547619047619047,0.8654761904761904,0.8654761904761904,0.7523809523809524,0.8071428571428572
0.9585253456221199,0.9596774193548387,0.9608294930875576,0.8669354838709677,0.832373271889401
0.8040540540540541,0.8293918918918919,0.8327702702702703,0.6925675675675675,0.7854729729729729
0.8314285714285714,0.8371428571428572,0.8371428571428572,0.7019047619047619,0.7442857142857142
0.8929924242424242,0.8977272727272727,0.8996212121212122,0.7215909090909092,0.7902462121212122
0.9552795031055901,0.9565217391304348,0.9565217391304348,0.8937888198757764,0.8664596273291925
0.9232954545454546,0.9346590909090909,0.9346590909090909,0.9460227272727273,0.890625
0.8966346153846154,0.9038461538461537,0.9038461538461537,0.8064903846153846,0.8245192307692307
0.9365079365079365,0.935515873015873,0.9345238095238095,0.7718253968253969,0.7733134920634921
0.7849802371541502,0.8355731225296443,0.8395256916996047,0.7324110671936759,0.7126482213438735
0.8583984375,0.8759765625,0.8779296875,0.8916015625,0.74462890625
0.7566666666666667,0.7116666666666667,0.7150000000000001,0.6900000000000001,0.7733333333333334
0.8778966131907309,0.875222816399287,0.874331550802139,0.7896613190730837,0.7633689839572193
0.9023809523809524,0.9047619047619048,0.9047619047619048,0.8357142857142857,0.8339285714285715
0.9402810304449649,0.9402810304449649,0.9402810304449649,0.8559718969555035,0.857728337236534
0.801,0.792,0.792,0.765,0.6535000000000001
0.8984375,0.9107142857142857,0.9129464285714286,0.6283482142857143,0.828125
0.880952380952381,0.8733333333333333,0.8742857142857142,0.8676190476190476,0.8085714285714285
0.8956896551724138,0.906896551724138,0.9077586206896552,0.7991379310344828,0.7806034482758621
