time,node,obs,obs_st
15,1,I,1
15,2,I,1
15,4,I,1
15,14,I,1
15,15,I,1
15,33,I,1
15,34,I,1
15,37,I,1
15,41,I,1
15,45,I,1
15,51,I,1
15,55,I,1
15,58,I,1
15,60,I,1
15,64,I,1
15,65,I,1
15,69,I,1
15,70,I,1
15,76,I,1
15,77,I,1
15,78,I,1
15,79,I,1
15,85,I,1
15,91,I,1
15,92,I,1
15,97,I,1
