time,node,obs,obs_st
0,58,S,0
1,62,S,0
2,22,S,0
3,73,S,0
4,77,S,0
4,91,I,1
5,8,I,1
5,60,S,0
6,29,I,1
6,65,I,1
6,73,S,0
7,52,I,1
7,63,S,0
8,6,I,1
8,43,I,1
8,64,S,0
9,0,S,0
10,28,I,1
10,33,S,0
10,73,I,1
10,74,I,1
10,92,I,1
11,32,I,1
11,39,I,1
11,41,I,1
11,42,S,0
11,57,I,1
11,78,I,1
11,93,I,1
11,94,I,1
12,9,I,1
12,12,I,1
12,25,I,1
12,31,I,1
12,34,I,1
12,83,S,0
