time,node,obs,obs_st
15,8,I,1
15,9,I,1
15,10,I,1
15,12,I,1
15,19,I,1
15,20,I,1
15,27,I,1
15,30,I,1
15,49,I,1
15,58,I,1
15,61,I,1
15,70,I,1
15,71,I,1
15,81,I,1
15,82,I,1
