time,node,obs,obs_st
12,2,I,1
12,4,I,1
12,5,I,1
12,8,I,1
12,15,I,1
12,17,I,1
12,18,I,1
12,19,I,1
12,23,I,1
12,30,I,1
12,32,I,1
12,38,I,1
12,39,I,1
12,47,I,1
12,48,I,1
12,50,I,1
12,52,I,1
12,68,I,1
12,74,I,1
12,77,I,1
12,87,I,1
12,89,I,1
12,94,I,1
